energy,dim,beta_m,ula_min,ula_min_std,diff_min,diff_min_std,min_ratio,ula_mean,ula_mean_std,diff_mean,diff_mean_std,mean_ratio
double_well,20,8.0,-3.759333,0.017917,-3.854233,0.016102,1.025,-2.9771,0.001682,-3.3703,0.041396,1.132
double_well,20,9.0,-3.7585,0.017727,-3.8602,0.005709,1.027,-2.980667,0.001818,-3.322667,0.034474,1.115
many_well,2,0.1,-3.999967,5.8e-05,-3.759333,0.085715,0.94,-3.892433,0.001193,-3.126767,0.141819,0.803
many_well,2,0.25,-4.0,0.0,-3.994633,0.00532,0.999,-3.893933,0.002285,-3.7975,0.031455,0.975
many_well,2,0.5,-3.999933,5.8e-05,-3.999967,5.8e-05,1.0,-3.893833,0.00254,-3.9459,0.00361,1.013
many_well,2,1.0,-4.0,0.0,-3.9999,0.0,1.0,-3.8931,0.001249,-3.9417,0.005794,1.012
many_well,2,2.0,-3.999967,5.8e-05,-4.0,0.0,1.0,-3.893567,0.001193,-3.962867,0.003272,1.018
many_well,2,3.0,-3.999967,5.8e-05,-4.0,0.0,1.0,-3.8937,0.001323,-3.9615,0.000721,1.017
many_well,2,4.0,-4.0,0.0,-4.0,0.0,1.0,-3.8939,0.001277,-3.957067,0.001361,1.016
many_well,2,5.0,-4.0,0.0,-4.0,0.0,1.0,-3.894267,0.001172,-3.950733,0.001474,1.014
many_well,2,6.0,-4.0,0.0,-3.999967,5.8e-05,1.0,-3.894733,0.001193,-3.942333,0.001457,1.012
many_well,2,7.0,-3.999967,5.8e-05,-3.999967,5.8e-05,1.0,-3.894633,0.001266,-3.933367,0.00254,1.01
many_well,2,8.0,-3.9999,0.0,-4.0,0.0,1.0,-3.894733,0.001234,-3.9237,0.002551,1.007
many_well,2,9.0,-3.999933,5.8e-05,-4.0,0.0,1.0,-3.8953,0.001418,-3.9135,0.003659,1.005
many_well,5,0.1,-7.992867,0.000681,-7.731367,0.075587,0.967,-7.732233,0.004179,-6.9269,0.02355,0.896
many_well,5,0.25,-7.9922,0.003843,-7.9872,0.003604,0.999,-7.730867,0.003083,-7.659467,0.014257,0.991
many_well,5,0.5,-7.991233,0.00179,-7.996833,0.000764,1.001,-7.7315,0.005897,-7.855267,0.013158,1.016
