dim,beta_h,metric,threshold,c_direct,c_setup,c_use,r_star,beta_m,n_train,n_samples,local_steps,metric_val
5,20.0,q01,0.07737,393216,20480000,81920,66,5.0,2048,8192,10,0.0764
5,20.0,q01,0.1,393216,20480000,81920,66,5.0,2048,8192,10,0.0764
5,20.0,q01,0.2,393216,20480000,81920,66,5.0,2048,8192,10,0.0764
5,20.0,q01,0.5,393216,20480000,0,53,5.0,2048,8192,0,0.2051
5,20.0,q01,1.0,393216,20480000,0,53,5.0,2048,8192,0,0.2051
5,20.0,q01,2.0,393216,20480000,0,53,5.0,2048,8192,0,0.2051
5,20.0,q01,5.0,393216,20480000,0,53,1.0,2048,8192,0,3.3217
5,20.0,q01,10.0,393216,20480000,0,53,1.0,2048,8192,0,3.3217
5,50.0,q01,0.10563,393216,20480000,81920,66,5.0,2048,8192,10,0.1051
5,50.0,q01,0.2,393216,20480000,81920,66,5.0,2048,8192,10,0.1051
5,50.0,q01,0.5,393216,20480000,0,53,5.0,2048,8192,0,0.2051
5,50.0,q01,1.0,393216,20480000,0,53,5.0,2048,8192,0,0.2051
5,50.0,q01,2.0,393216,20480000,0,53,5.0,2048,8192,0,0.2051
5,50.0,q01,5.0,393216,20480000,0,53,1.0,2048,8192,0,3.3217
5,50.0,q01,10.0,393216,20480000,0,53,1.0,2048,8192,0,3.3217
10,20.0,q01,0.1665,393216,20480000,81920,66,20.0,2048,8192,10,0.1659
10,20.0,q01,0.16733,393216,20480000,81920,66,20.0,2048,8192,10,0.1659
10,20.0,q01,0.1688,393216,20480000,81920,66,20.0,2048,8192,10,0.1659
10,20.0,q01,0.1691,393216,20480000,81920,66,20.0,2048,8192,10,0.1659
10,20.0,q01,0.17157,393216,20480000,81920,66,20.0,2048,8192,10,0.1659
10,20.0,q01,0.2,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,20.0,q01,0.5,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,20.0,q01,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,20.0,q01,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,20.0,q01,5.0,393216,20480000,0,53,5.0,2048,8192,0,2.4552
10,20.0,q01,10.0,393216,20480000,0,53,1.0,2048,8192,0,6.7965
10,50.0,q01,0.1199,393216,20480000,81920,66,20.0,2048,8192,10,0.1195
10,50.0,q01,0.1215,393216,20480000,81920,66,20.0,2048,8192,10,0.1195
10,50.0,q01,0.2,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,50.0,q01,0.5,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,50.0,q01,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,50.0,q01,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.1838
10,50.0,q01,5.0,393216,20480000,0,53,5.0,2048,8192,0,2.4552
10,50.0,q01,10.0,393216,20480000,0,53,1.0,2048,8192,0,6.7965
20,20.0,q01,0.39107,21495808,20480000,81920,1,20.0,2048,8192,10,0.3872
20,20.0,q01,0.3959,21495808,20480000,81920,1,20.0,2048,8192,10,0.3872
20,20.0,q01,0.3982,5505024,20480000,81920,4,20.0,2048,8192,10,0.3872
20,20.0,q01,0.40313,1441792,20480000,81920,16,20.0,2048,8192,10,0.3872
20,20.0,q01,0.5,1441792,20480000,0,15,20.0,2048,8192,0,0.4273
20,20.0,q01,0.94157,393216,20480000,0,53,20.0,2048,8192,0,0.4273
20,20.0,q01,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.4273
20,20.0,q01,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.4273
20,20.0,q01,5.0,393216,20480000,0,53,5.0,2048,8192,0,4.4046
20,20.0,q01,10.0,393216,20480000,0,53,1.0,2048,8192,0,9.9114
20,50.0,q01,0.20183,393216,20480000,81920,66,20.0,2048,8192,10,0.2003
20,50.0,q01,0.20283,393216,20480000,81920,66,20.0,2048,8192,10,0.2003
20,50.0,q01,0.2034,393216,20480000,81920,66,20.0,2048,8192,10,0.2003
20,50.0,q01,0.5,393216,20480000,0,53,20.0,2048,8192,0,0.4273
20,50.0,q01,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.4273
20,50.0,q01,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.4273
20,50.0,q01,5.0,393216,20480000,0,53,5.0,2048,8192,0,4.4046
20,50.0,q01,10.0,393216,20480000,0,53,1.0,2048,8192,0,9.9114
5,20.0,mean_energy,0.30157,393216,20480000,81920,66,5.0,2048,8192,10,0.2925
5,20.0,mean_energy,0.31063,393216,20480000,81920,66,5.0,2048,8192,10,0.2925
5,20.0,mean_energy,0.5,393216,20480000,81920,66,5.0,2048,8192,10,0.2925
5,20.0,mean_energy,1.0,393216,20480000,0,53,5.0,2048,8192,0,0.8821
5,20.0,mean_energy,2.0,393216,20480000,0,53,5.0,2048,8192,0,0.8821
5,20.0,mean_energy,5.0,393216,20480000,0,53,5.0,2048,8192,0,0.8821
5,20.0,mean_energy,10.0,393216,20480000,0,53,1.0,2048,8192,0,7.501
5,50.0,mean_energy,0.38837,393216,20480000,81920,66,5.0,2048,8192,10,0.3881
5,50.0,mean_energy,0.38913,393216,20480000,81920,66,5.0,2048,8192,10,0.3881
5,50.0,mean_energy,0.5,393216,20480000,81920,66,5.0,2048,8192,10,0.3881
5,50.0,mean_energy,1.0,393216,20480000,0,53,5.0,2048,8192,0,0.8821
5,50.0,mean_energy,2.0,393216,20480000,0,53,5.0,2048,8192,0,0.8821
5,50.0,mean_energy,5.0,393216,20480000,0,53,5.0,2048,8192,0,0.8821
5,50.0,mean_energy,10.0,393216,20480000,0,53,1.0,2048,8192,0,7.501
10,20.0,mean_energy,0.43487,393216,20480000,81920,66,20.0,2048,8192,10,0.4334
10,20.0,mean_energy,0.4356,393216,20480000,81920,66,20.0,2048,8192,10,0.4334
10,20.0,mean_energy,0.43643,393216,20480000,81920,66,20.0,2048,8192,10,0.4334
10,20.0,mean_energy,0.5,393216,20480000,0,53,20.0,2048,8192,0,0.46
